Mês;Pergunta;Quantidade de respostas com nota 1;% de respostas com nota 1;Quantidade de respostas com nota 2;% de respostas com nota 2;Quantidade de respostas com nota 3;% de respostas com nota 3;Quantidade de respostas com nota 4;% de respostas com nota 4;Quantidade de respostas com nota 5;% de respostas com nota 5;Quantidade total de respostas
jan/19;Qual o seu nível de satisfação com o atendimento?;3825;3,24;1775;1,5;3653;3,09;14656;12,41;94184;79,75;118093
jan/19;Qual o seu nível de satisfação com a cordialidade do nosso operador?;2921;2,55;1606;1,4;2880;2,52;11773;10,29;95274;83,24;114454
jan/19;Qual o seu nível de satisfação com a clareza do nosso operador?;3228;2,91;1790;1,61;3386;3,05;12817;11,56;89629;80,86;110850
jan/19;Qual o seu nível de satisfação com as informações recebidas?;4555;4,23;2489;2,31;4403;4,09;14306;13,28;81953;76,09;107706
fev/19;Qual o seu nível de satisfação com o atendimento?;5073;3,55;2143;1,5;4671;3,26;18511;12,94;112678;78,75;143076
fev/19;Qual o seu nível de satisfação com a cordialidade do nosso operador?;3956;2,86;2064;1,49;3636;2,62;14958;10,8;113943;82,24;138557
fev/19;Qual o seu nível de satisfação com a clareza do nosso operador?;4312;3,21;2335;1,74;4278;3,19;15801;11,78;107442;80,08;134168
fev/19;Qual o seu nível de satisfação com as informações recebidas?;5822;4,46;3065;2,35;5302;4,06;17954;13,76;98303;75,36;130446
mar/19;Qual o seu nível de satisfação com o atendimento?;4645;3,9;2042;1,71;4123;3,46;15536;13,05;92741;77,88;119087
mar/19;Qual o seu nível de satisfação com a cordialidade do nosso operador?;3670;3,19;1754;1,52;3313;2,88;12727;11,05;93709;81,36;115173
mar/19;Qual o seu nível de satisfação com a clareza do nosso operador?;3983;3,57;1931;1,73;3716;3,33;13093;11,75;88745;79,61;111468
mar/19;Qual o seu nível de satisfação com as informações recebidas?;5085;4,69;2731;2,52;4506;4,16;14716;13,58;81288;75,04;108326
abr/19;Qual o seu nível de satisfação com o atendimento?;4193;3,38;2046;1,65;4210;3,4;15727;12,69;97773;78,88;123949
abr/19;Qual o seu nível de satisfação com a cordialidade do nosso operador?;3442;2,88;1788;1,49;3357;2,81;12913;10,79;98131;82,03;119631
abr/19;Qual o seu nível de satisfação com a clareza do nosso operador?;3612;3,12;2007;1,74;3680;3,18;13335;11,54;92958;80,42;115592
abr/19;Qual o seu nível de satisfação com as informações recebidas?;4970;4,44;2743;2,45;4643;4,15;14931;13,34;84663;75,63;111950
mai/19;Qual o seu nível de satisfação com o atendimento?;4384;3,18;1997;1,45;4420;3,2;17030;12,34;110216;79,84;138047
mai/19;Qual o seu nível de satisfação com a cordialidade do nosso operador?;3515;2,64;1887;1,42;3442;2,58;14208;10,66;110201;82,7;133253
mai/19;Qual o seu nível de satisfação com a clareza do nosso operador?;3766;2,93;2133;1,66;4063;3,16;14662;11,41;103885;80,84;128509
mai/19;Qual o seu nível de satisfação com as informações recebidas?;5078;4,08;2867;2,3;4909;3,94;16222;13,03;95393;76,64;124469
jun/19;Qual o seu nível de satisfação com o atendimento?;3788;3,45;1705;1,55;3470;3,16;13492;12,28;87452;79,57;109907
jun/19;Qual o seu nível de satisfação com a cordialidade do nosso operador?;2973;2,81;1574;1,49;2864;2,7;11189;10,56;87337;82,44;105937
jun/19;Qual o seu nível de satisfação com a clareza do nosso operador?;3182;3,12;1724;1,69;3187;3,12;11635;11,39;82380;80,68;102108
jun/19;Qual o seu nível de satisfação com as informações recebidas?;4026;4,08;2267;2,3;3867;3,92;12794;12,96;75790;76,75;98744
