Mes,Pergunta, Quantidade de respostas com nota 1 ,% de respostas com nota 1, Quantidade de respostas com nota 2 ,% de respostas com nota 2, Quantidade de respostas com nota 3 ,% de respostas com nota 3, Quantidade de respostas com nota 4 , % de respostas com nota 4 , Quantidade de respostas com nota 5 ,% de respostas com nota 5, Quantidade total de respostas
jan/20,Qual o seu nivel de satisfacao com o atendimento?, 5582 , 4.16 , 2291 , 1.71 , 4519 , 3.37 , 15803 , 11.77 , 106074 , 79.00 , 134269
jan/20,Qual o seu nivel de satisfacao com a cordialidade do nosso operador?, 4454 , 3.45 , 2073 , 1.61 , 3366 , 2.61 , 12934 , 10.02 , 106262 , 82.32 , 129089
jan/20,Qual o seu nivel de satisfacao com a clareza do nosso operador?, 4731 , 3.79 , 2218 , 1.78 , 3938 , 3.16 , 13357 , 10.70 , 100540 , 80.57 , 124784
jan/20,Qual o seu nivel de satisfacao com as informacoes recebidas?, 6061 , 5.00 , 2991 , 2.47 , 4906 , 4.05 , 15004 , 12.38 , 92227 , 76.10 , 121189
fev/20,Qual o seu nivel de satisfacao com o atendimento?, 6542 , 4.26 , 2695 , 1.76 , 5166 , 3.37 , 18767 , 12.23 , 120243 , 78.38 , 153413
fev/20,Qual o seu nivel de satisfacao com a cordialidade do nosso operador?, 5020 , 3.41 , 2413 , 1.64 , 3979 , 2.70 , 15218 , 10.33 , 120692 , 81.92 , 147322
fev/20,Qual o seu nivel de satisfacao com a clareza do nosso operador?, 5425 , 3.81 , 2733 , 1.92 , 4807 , 3.38 , 16035 , 11.27 , 113272 , 79.62 , 142272
fev/20,Qual o seu nivel de satisfacao com as informacoes recebidas?, 7137 , 5.17 , 3609 , 2.61 , 5768 , 4.18 , 17828 , 12.92 , 103682 , 75.12 , 138024
mar/20,Qual o seu nivel de satisfacao com o atendimento?, 6693 , 4.84 , 2387 , 1.73 , 4430 , 3.21 , 16127 , 11.67 , 108531 , 78.55 , 138168
mar/20,Qual o seu nivel de satisfacao com a cordialidade do nosso operador?, 5252 , 3.97 , 2129 , 1.61 , 3421 , 2.58 , 13212 , 9.98 , 108366 , 81.86 , 132380
mar/20,Qual o seu nivel de satisfacao com a clareza do nosso operador?, 5630 , 4.42 , 2505 , 1.97 , 3990 , 3.13 , 14069 , 11.04 , 101268 , 79.45 , 127462
mar/20,Qual o seu nivel de satisfacao com as informacoes recebidas?, 6966 , 5.64 , 3148 , 2.55 , 4903 , 3.97 , 15609 , 12.65 , 92796 , 75.19 , 123422
