Mês;Pergunta; Quantidade de respostas com nota 1 ;% de respostas com nota 1; Quantidade de respostas com nota 2 ;% de respostas com nota 2; Quantidade de respostas com nota 3 ;% de respostas com nota 3; Quantidade de respostas com nota 4 ;% de respostas com nota 4; Quantidade de respostas com nota 5 ;% de respostas com nota 5; Quantidade total de respostas ;
jul/19;Qual o seu nível de satisfação com o atendimento?; 4.533 ; 3,47 ; 2.106 ; 1,61 ; 4.203 ; 3,22 ; 16.243 ; 12,44 ; 103.524 ; 79,26 ; 130.609 ;
jul/19;Qual o seu nível de satisfação com a cordialidade do nosso operador?; 3.557 ; 2,82 ; 1.926 ; 1,53 ; 3.427 ; 2,72 ; 13.355 ; 10,61 ; 103.661 ; 82,32 ; 125.926 ;
jul/19;Qual o seu nível de satisfação com a clareza do nosso operador?; 3.855 ; 3,18 ; 2.213 ; 1,82 ; 3.925 ; 3,24 ; 13.953 ; 11,51 ; 97.331 ; 80,26 ; 121.277 ;
jul/19;Qual o seu nível de satisfação com as informações recebidas?; 5.008 ; 4,27 ; 2.793 ; 2,38 ; 4.785 ; 4,08 ; 15.295 ; 13,04 ; 89.409 ; 76,23 ; 117.290 ;
ago/19;Qual o seu nível de satisfação com o atendimento?; 5.080 ; 3,68 ; 2.367 ; 1,71 ; 4.772 ; 3,46 ; 17.964 ; 13,01 ; 107.933 ; 78,15 ; 138.116 ;
ago/19;Qual o seu nível de satisfação com a cordialidade do nosso operador?; 4.014 ; 3,02 ; 2.209 ; 1,66 ; 3.896 ; 2,93 ; 14.855 ; 11,18 ; 107.872 ; 81,20 ; 132.846 ;
ago/19;Qual o seu nível de satisfação com a clareza do nosso operador?; 4.414 ; 3,45 ; 2.408 ; 1,88 ; 4.318 ; 3,38 ; 15.150 ; 11,84 ; 101.619 ; 79,45 ; 127.909 ;
ago/19;Qual o seu nível de satisfação com as informações recebidas?; 5.779 ; 4,67 ; 3.100 ; 2,50 ; 5.197 ; 4,20 ; 17.137 ; 13,84 ; 92.578 ; 74,79 ; 123.791 ;
set/19;Qual o seu nível de satisfação com o atendimento?; 4.945 ; 3,66 ; 2.165 ; 1,60 ; 4.337 ; 3,21 ; 16.923 ; 12,53 ; 106.700 ; 79,00 ; 135.070 ;
set/19;Qual o seu nível de satisfação com a cordialidade do nosso operador?; 3.914 ; 3,02 ; 1.970 ; 1,52 ; 3.397 ; 2,62 ; 13.917 ; 10,73 ; 106.475 ; 82,11 ; 129.673 ;
set/19;Qual o seu nível de satisfação com a clareza do nosso operador?; 4.261 ; 3,41 ; 2.211 ; 1,77 ; 3.965 ; 3,17 ; 14.544 ; 11,65 ; 99.912 ; 80,00 ; 124.893 ;
set/19;Qual o seu nível de satisfação com as informações recebidas?; 5.337 ; 4,42 ; 2.853 ; 2,36 ; 4.860 ; 4,03 ; 15.881 ; 13,16 ; 91.769 ; 76,03 ; 120.700 ;
out/19;Qual o seu nível de satisfação com o atendimento?; 4.906 ; 3,85 ; 1.933 ; 1,52 ; 4.018 ; 3,15 ; 15.258 ; 11,98 ; 101.250 ; 79,50 ; 127.365 ;
out/19;Qual o seu nível de satisfação com a cordialidade do nosso operador?; 3.804 ; 3,10 ; 1.837 ; 1,50 ; 3.215 ; 2,62 ; 12.533 ; 10,22 ; 101.239 ; 82,56 ; 122.628 ;
out/19;Qual o seu nível de satisfação com a clareza do nosso operador?; 4.048 ; 3,43 ; 2.057 ; 1,74 ; 3.657 ; 3,10 ; 13.146 ; 11,15 ; 95.041 ; 80,58 ; 117.949 ;
out/19;Qual o seu nível de satisfação com as informações recebidas?; 5.186 ; 4,55 ; 2.602 ; 2,28 ; 4.421 ; 3,88 ; 14.553 ; 12,77 ; 87.178 ; 76,51 ; 113.940 ;
nov/19;Qual o seu nível de satisfação com o atendimento?; 3.902 ; 3,91 ; 1.513 ; 1,52 ; 3.025 ; 3,03 ; 11.766 ; 11,80 ; 79.544 ; 79,74 ; 99.750 ;
nov/19;Qual o seu nível de satisfação com a cordialidade do nosso operador?; 3.026 ; 3,15 ; 1.383 ; 1,44 ; 2.520 ; 2,62 ; 9.525 ; 9,90 ; 79.724 ; 82,89 ; 96.178 ;
nov/19;Qual o seu nível de satisfação com a clareza do nosso operador?; 3.199 ; 3,46 ; 1.593 ; 1,72 ; 2.699 ; 2,92 ; 9.993 ; 10,80 ; 75.068 ; 81,11 ; 92.552 ;
nov/19;Qual o seu nível de satisfação com as informações recebidas?; 4.125 ; 4,61 ; 2.027 ; 2,27 ; 3.413 ; 3,81 ; 11.092 ; 12,40 ; 68.816 ; 76,91 ; 89.473 ;
dez/19;Qual o seu nível de satisfação com o atendimento?; 3.288 ; 3,90 ; 1.275 ; 1,51 ; 2.553 ; 3,03 ; 9.847 ; 11,68 ; 67.312 ; 79,87 ; 84.275 ;
dez/19;Qual o seu nível de satisfação com a cordialidade do nosso operador?; 2.621 ; 3,22 ; 1.219 ; 1,50 ; 2.074 ; 2,55 ; 8.093 ; 9,95 ; 67.299 ; 82,77 ; 81.306 ;
dez/19;Qual o seu nível de satisfação com a clareza do nosso operador?; 2.745 ; 3,50 ; 1.346 ; 1,72 ; 2.286 ; 2,91 ; 8.442 ; 10,76 ; 63.623 ; 81,11 ; 78.442 ;
dez/19;Qual o seu nível de satisfação com as informações recebidas?; 3.467 ; 4,57 ; 1.800 ; 2,37 ; 2.860 ; 3,77 ; 9.406 ; 12,38 ; 58.414 ; 76,91 ; 75.947 ;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
