Data,Quantidade de ligacoes entrantes,Quantidade de ligacoes atendidas,Quantidade de ligacoes abandonadas,Tempo Medio de Atendimento,Tempo Medio de Espera,Quantidade de ligacoes atendidas em ate 15 segundos,Quantidade de ligacoes atendidas apos 15 segundos,Nivel de servico -  ate 15 segundos (%),indice de ligacoes abandonadas em ate 15 segundos (%)
01/01/2019,3635,2721,914,00:03:49,00:01:07,2153,568,79.13,12.38
02/01/2019,22671,19501,1686,00:04:32,00:00:06,18117,1384,92.90,0.62
03/01/2019,21372,17812,2254,00:04:26,00:00:09,15916,1896,89.36,0.79
04/01/2019,20838,16629,2461,00:04:22,00:00:13,14129,2500,84.97,1.27
05/01/2019,7131,6247,884,00:04:18,00:00:19,5219,1028,83.54,2.29
06/01/2019,5319,4696,623,00:03:59,00:00:45,4335,361,92.31,5.94
07/01/2019,35559,23015,4163,00:04:38,00:00:14,18671,4344,81.13,1.37
08/01/2019,23735,19835,2869,00:04:24,00:00:12,16843,2992,84.92,1.31
09/01/2019,22371,18868,2480,00:04:34,00:00:13,16285,2583,86.31,1.42
10/01/2019,21749,18342,2407,00:04:31,00:00:12,15663,2679,85.39,1.18
11/01/2019,19195,16057,2173,00:04:26,00:00:15,13947,2110,86.86,1.38
12/01/2019,6832,6215,617,00:04:23,00:00:07,5614,601,90.33,0.82
13/01/2019,4688,4213,475,00:04:14,00:00:28,3833,380,90.98,3.75
14/01/2019,36134,22573,3956,00:04:49,00:00:15,18353,4220,81.31,1.51
15/01/2019,24619,20704,2797,00:04:40,00:00:12,17909,2795,86.50,1.21
16/01/2019,23422,19618,2435,00:04:24,00:00:12,17078,2540,87.05,1.20
17/01/2019,21733,18775,2278,00:04:17,00:00:11,16286,2489,86.74,1.13
18/01/2019,17741,16155,1583,00:04:35,00:00:11,14515,1640,89.85,1.14
19/01/2019,6671,5941,730,00:04:37,00:00:19,5414,527,91.13,2.79
20/01/2019,5034,4650,384,00:03:59,00:00:20,4341,309,93.35,2.84
21/01/2019,31533,21678,4439,00:04:35,00:00:28,17076,4602,78.77,3.07
22/01/2019,27845,21711,3096,00:04:39,00:00:16,18429,3282,84.88,1.62
23/01/2019,25152,19652,3572,00:04:52,00:00:25,16956,2696,86.28,2.86
24/01/2019,22352,16587,3756,00:04:39,00:00:43,14738,1849,88.85,5.29
25/01/2019,7305,7296,9,00:04:14,00:00:00,7288,8,99.89,0.00
26/01/2019,7763,5644,2119,00:04:16,00:01:17,4436,1208,78.60,10.06
27/01/2019,5500,4736,764,00:04:17,00:00:43,4272,464,90.20,6.07
28/01/2019,53957,23866,10190,00:04:15,00:01:05,19003,4863,79.62,7.79
29/01/2019,35679,21610,8655,00:04:25,00:01:19,16755,4855,77.53,9.37
30/01/2019,33627,27345,3626,00:04:37,00:00:14,24579,2766,89.88,1.79
31/01/2019,32731,21541,8409,00:04:47,00:01:33,17571,3970,81.57,10.41
01/02/2019,34016,18623,11769,00:04:48,00:00:21,14266,4357,76.60,15.51
02/02/2019,11081,7664,3417,00:04:40,00:00:19,6162,1502,80.40,8.58
03/02/2019,7413,5731,1682,00:04:17,00:00:13,4780,951,83.41,5.83
04/02/2019,54436,22472,19916,00:04:51,00:00:34,11636,10836,51.78,17.67
05/02/2019,43517,27997,10423,00:04:27,00:00:43,17454,10543,62.34,6.61
06/02/2019,36269,24571,8416,00:04:34,00:00:37,17107,7464,69.62,7.60
07/02/2019,37304,24096,9703,00:04:21,00:00:48,15002,9094,62.26,8.74
08/02/2019,29963,22246,5616,00:04:36,00:00:33,16432,5814,73.86,4.95
09/02/2019,9967,6338,3629,00:04:38,00:00:54,3953,2385,62.37,11.40
10/02/2019,6679,5543,1136,00:04:15,00:00:22,4737,806,85.46,4.40
11/02/2019,50306,29179,7190,00:04:39,00:00:20,22020,7159,75.47,1.99
12/02/2019,37609,26745,7205,00:04:32,00:00:29,19198,7547,71.78,3.20
13/02/2019,34197,25747,4797,00:04:42,00:00:17,21096,4651,81.94,1.93
14/02/2019,31592,24964,4477,00:04:44,00:00:15,20742,4222,83.09,1.97
15/02/2019,25384,21644,2427,00:04:34,00:00:09,19306,2338,89.20,0.97
16/02/2019,10071,7545,2526,00:04:19,00:00:32,5539,2006,73.41,6.74
17/02/2019,6698,5872,826,00:04:18,00:00:16,5185,687,88.30,3.54
18/02/2019,47715,27755,6759,00:04:23,00:00:21,21271,6484,76.64,3.21
19/02/2019,34705,26615,3921,00:04:30,00:00:11,22921,3694,86.12,1.15
20/02/2019,27672,24186,313,00:04:17,00:00:03,23319,867,96.42,0.60
21/02/2019,28023,24558,291,00:04:02,00:00:08,24161,397,98.38,0.86
22/02/2019,24195,22239,174,00:04:18,00:00:04,21824,415,98.13,0.52
23/02/2019,8532,7961,571,00:04:06,00:00:02,7789,172,97.84,1.50
24/02/2019,6140,5449,691,00:03:51,00:00:02,5293,156,97.14,2.51
25/02/2019,47088,31943,798,00:04:08,00:00:11,31027,916,97.13,1.36
26/02/2019,37308,32827,1340,00:03:36,00:00:18,32047,780,97.62,2.60
27/02/2019,35123,31224,730,00:03:59,00:00:11,30832,392,98.74,1.70
28/02/2019,29637,26651,645,00:03:49,00:00:13,26295,356,98.66,1.85
01/03/2019,28296,23426,2286,00:04:05,00:00:57,22218,1208,94.84,6.98
02/03/2019,8908,7925,983,00:03:48,00:01:00,7091,834,89.48,9.30
03/03/2019,6997,6617,380,00:03:33,00:00:29,6336,281,95.75,4.67
04/03/2019,15419,15244,175,00:03:45,00:00:05,14952,292,98.08,0.80
05/03/2019,9616,9577,39,00:03:37,00:00:02,9538,39,99.59,0.35
06/03/2019,29041,23789,2624,00:03:52,00:00:48,20739,3050,87.18,7.67
07/03/2019,35203,26458,3680,00:04:10,00:00:54,23122,3336,87.39,9.08
08/03/2019,27195,21178,2374,00:04:14,00:00:48,19494,1684,92.05,7.64
09/03/2019,8537,7616,921,00:03:56,00:00:58,7106,510,93.30,9.44
10/03/2019,7188,6608,580,00:03:57,00:00:41,6434,174,97.37,6.87
