Data;Quantidade de ligações entrantes;Quantidade de ligações atendidas;Quantidade de ligações abandonadas;Tempo Médio de Atendimento;Tempo Médio de Espera;Quantidade de ligações atendidas em até 15 segundos;Quantidade de ligações atendidas após 15 segundos;Nível de serviço -  até 15 segundos (%);Índice de ligações abandonadas em até 15 segundos (%)
01/07/2019;25.559;22.463;3.089;00:04:00;00:00:29;17.768;4.695;79,10;3,06
02/07/2019;25.843;21.447;3.928;00:04:09;00:00:53;14.190;7.257;66,16;5,19
03/07/2019;22.672;21.375;1.217;00:04:04;00:00:08;19.695;1.680;92,14;0,73
04/07/2019;19.570;19.232;252;00:03:57;00:00:01;18.949;283;98,53;0,07
05/07/2019;22.086;20.809;298;00:03:47;00:00:02;20.421;388;98,14;0,16
06/07/2019;9.471;8.489;982;00:04:08;00:00:35;7.449;1.040;87,75;7,37
07/07/2019;6.273;5.272;1.001;00:04:13;00:01:12;4.349;923;82,49;12,47
08/07/2019;20.656;20.469;187;00:03:37;00:00:04;20.255;214;98,95;0,54
09/07/2019;8.846;8.772;71;00:03:45;00:00:02;8.635;137;98,44;0,18
10/07/2019;24.694;23.339;1.216;00:03:59;00:00:08;21.672;1.667;92,86;0,72
11/07/2019;23.877;21.993;1.500;00:04:00;00:00:09;20.001;1.992;90,94;0,66
12/07/2019;23.022;20.364;737;00:03:59;00:00:05;19.311;1.053;94,83;0,42
13/07/2019;7.249;7.015;234;00:04:00;00:00:08;6.676;339;95,17;1,34
14/07/2019;4.930;4.853;77;00:03:50;00:00:05;4.695;158;96,74;1,01
15/07/2019;24.000;21.691;2.303;00:03:54;00:00:19;18.224;3.467;84,02;1,84
16/07/2019;24.592;21.511;2.290;00:03:49;00:00:25;17.491;4.020;81,31;2,15
17/07/2019;23.366;21.059;1.844;00:03:53;00:00:17;17.896;3.163;84,98;1,28
18/07/2019;24.092;21.122;1.977;00:03:47;00:00:17;18.170;2.952;86,02;1,58
19/07/2019;20.998;19.845;743;00:03:36;00:00:04;19.005;840;95,77;0,22
20/07/2019;7.418;7.078;340;00:03:41;00:00:10;6.604;474;93,30;1,39
21/07/2019;4.800;4.691;109;00:03:45;00:00:07;4.510;181;96,14;1,50
22/07/2019;24.588;20.114;4.472;00:04:04;00:00:58;13.209;6.905;65,67;6,46
23/07/2019;25.688;22.916;2.619;00:04:05;00:00:27;18.470;4.446;80,60;2,27
24/07/2019;24.535;21.697;2.797;00:04:04;00:00:30;17.181;4.516;79,19;3,05
25/07/2019;27.605;22.085;2.911;00:04:09;00:00:29;17.035;5.050;77,13;2,73
26/07/2019;27.257;21.168;1.757;00:04:02;00:00:14;18.621;2.547;87,97;1,27
27/07/2019;7.994;7.776;218;00:03:40;00:00:06;7.454;322;95,86;1,09
28/07/2019;5.433;5.299;134;00:03:49;00:00:05;5.042;257;95,15;0,88
29/07/2019;26.908;23.264;3.635;00:03:58;00:00:38;17.478;5.786;75,13;3,87
30/07/2019;30.442;25.602;3.302;00:03:48;00:00:30;20.078;5.524;78,42;2,97
31/07/2019;29.214;26.104;2.591;00:03:37;00:00:23;21.804;4.300;83,53;2,16
01/08/2019;34.453;25.461;6.478;00:03:54;00:01:09;15.373;10.088;60,38;8,45
02/08/2019;35.020;23.930;4.101;00:03:53;00:00:36;17.610;6.320;73,59;4,22
03/08/2019;9.378;8.779;599;00:03:41;00:00:12;8.024;755;91,40;1,62
04/08/2019;6.486;6.309;177;00:03:37;00:00:11;5.919;390;93,82;1,22
05/08/2019;32.859;24.618;8.239;00:03:57;00:01:42;12.266;12.352;49,83;12,50
06/08/2019;36.624;26.194;7.247;00:03:57;00:01:21;15.093;11.101;57,62;9,90
07/08/2019;30.953;28.025;2.170;00:03:30;00:00:14;24.689;3.336;88,10;1,34
08/08/2019;30.010;25.414;2.749;00:03:54;00:00:24;20.691;4.723;81,42;2,31
09/08/2019;32.931;22.365;2.211;00:03:55;00:00:17;18.619;3.746;83,25;1,61
10/08/2019;8.722;8.554;168;00:03:33;00:00:06;8.226;328;96,17;1,10
11/08/2019;5.096;4.994;102;00:03:29;00:00:06;4.809;185;96,30;0,84
12/08/2019;28.777;25.796;2.977;00:03:56;00:00:30;20.968;4.828;81,28;3,24
13/08/2019;30.875;25.711;2.647;00:03:58;00:00:24;21.545;4.166;83,80;2,32
14/08/2019;26.916;24.563;1.974;00:03:58;00:00:16;21.415;3.148;87,18;1,63
15/08/2019;28.017;24.700;1.789;00:03:51;00:00:13;21.926;2.774;88,77;1,37
16/08/2019;29.134;22.912;1.438;00:03:48;00:00:10;20.841;2.071;90,96;1,14
17/08/2019;8.036;7.722;314;00:03:53;00:00:04;7.363;359;95,35;0,51
18/08/2019;5.454;5.371;83;00:03:41;00:00:05;5.235;136;97,47;0,62
19/08/2019;26.251;24.882;1.362;00:03:52;00:00:07;23.207;1.675;93,27;0,58
20/08/2019;29.227;26.023;1.415;00:03:49;00:00:18;22.846;3.177;87,79;1,68
21/08/2019;26.911;25.520;771;00:03:47;00:00:11;23.693;1.827;92,84;1,19
22/08/2019;27.588;25.383;435;00:03:47;00:00:05;24.350;1.033;95,93;0,62
23/08/2019;29.559;23.247;265;00:03:45;00:00:03;22.587;660;97,16;0,28
24/08/2019;9.052;8.678;374;00:03:34;00:00:09;8.061;617;92,89;1,50
25/08/2019;5.782;5.600;182;00:03:40;00:00:10;5.280;320;94,29;1,68
26/08/2019;25.144;24.814;329;00:03:48;00:00:06;23.807;1.007;95,94;0,79
27/08/2019;29.938;25.297;1.421;00:03:44;00:00:12;22.787;2.510;90,08;1,19
28/08/2019;26.408;24.775;921;00:03:49;00:00:09;23.348;1.427;94,24;1,22
29/08/2019;31.066;27.083;1.059;00:03:23;00:00:09;25.331;1.752;93,53;0,98
30/08/2019;30.400;24.569;388;00:03:36;00:00:03;23.984;585;97,62;0,35
31/08/2019;10.322;9.755;567;00:03:13;00:00:14;8.792;963;90,13;2,08
01/09/2019;6.913;6.734;179;00:03:35;00:00:05;6.490;244;96,38;0,95
02/09/2019;28.769;25.925;2.843;00:03:44;00:00:35;20.973;4.952;80,90;3,71
03/09/2019;26.308;23.886;1.468;00:03:53;00:00:25;21.663;2.223;90,69;4,91
04/09/2019;25.561;24.806;420;00:03:58;00:00:07;24.170;636;97,44;1,37
05/09/2019;28.936;26.804;950;00:03:33;00:00:11;25.533;1.271;95,26;2,86
06/09/2019;30.714;25.589;577;00:03:30;00:00:02;24.776;813;96,82;0,16
07/09/2019;8.384;8.047;337;00:03:25;00:00:10;7.615;432;94,63;2,24
08/09/2019;6.269;6.008;261;00:03:31;00:00:10;5.636;372;93,81;1,64
09/09/2019;30.957;26.547;4.408;00:03:43;00:01:01;18.827;7.720;70,92;6,56
10/09/2019;28.980;24.988;739;00:03:59;00:00:04;24.561;427;98,29;2,09
11/09/2019;25.837;24.812;664;00:03:53;00:00:04;24.057;755;96,96;1,25
12/09/2019;32.734;28.321;2.554;00:02:58;00:00:24;24.123;4.198;85,18;2,31
13/09/2019;31.953;24.901;1.452;00:03:36;00:00:09;22.921;1.980;92,05;0,87
14/09/2019;9.059;8.770;289;00:03:40;00:00:08;8.298;472;94,62;1,24
15/09/2019;6.592;6.360;232;00:03:27;00:00:13;5.868;492;92,26;1,55
16/09/2019;27.565;26.338;1.224;00:03:49;00:00:08;24.618;1.720;93,47;0,55
17/09/2019;29.672;25.847;2.533;00:03:59;00:00:21;21.672;4.175;83,85;1,86
18/09/2019;27.648;25.998;1.456;00:03:58;00:00:10;23.685;2.313;91,10;0,64
19/09/2019;28.721;25.721;639;00:03:54;00:00:08;23.940;1.781;93,08;0,65
20/09/2019;29.672;23.419;426;00:03:56;00:00:10;21.142;2.277;90,28;1,09
21/09/2019;9.626;9.350;276;00:03:37;00:00:12;8.695;655;92,99;2,29
22/09/2019;6.128;5.893;235;00:03:43;00:00:18;5.464;429;92,72;3,44
23/09/2019;27.868;26.652;1.207;00:03:47;00:00:37;20.946;5.706;78,59;3,83
24/09/2019;32.116;26.271;975;00:03:49;00:00:18;23.753;2.518;90,42;2,59
25/09/2019;28.402;25.386;1.527;00:03:56;00:00:31;21.481;3.905;84,62;4,54
26/09/2019;31.070;27.422;1.257;00:03:47;00:00:13;26.116;1.306;95,24;3,44
27/09/2019;34.409;26.960;873;00:03:46;00:00:09;25.983;977;96,38;2,25
28/09/2019;10.612;10.315;297;00:03:42;00:00:08;9.946;369;96,42;2,40
29/09/2019;7.159;6.918;241;00:03:41;00:00:10;6.698;220;96,82;2,86
30/09/2019;35.728;30.418;5.306;00:03:43;00:00:57;24.592;5.826;80,85;13,38
01/10/2019;36.382;31.049;1.582;00:03:45;00:00:16;29.195;1.854;94,03;3,91
02/10/2019;29.563;27.738;1.286;00:03:48;00:00:15;26.298;1.440;94,81;3,85
03/10/2019;28.613;26.197;382;00:03:50;00:00:04;25.723;474;98,19;1,07
04/10/2019;29.285;23.571;101;00:03:44;00:00:01;23.448;123;99,48;0,25
05/10/2019;9.196;8.932;264;00:03:30;00:00:08;8.595;337;96,23;2,16
06/10/2019;6.430;6.282;148;00:03:36;00:00:06;6.151;131;97,91;1,80
07/10/2019;27.170;26.320;845;00:03:40;00:00:11;25.095;1.225;95,35;2,69
08/10/2019;28.687;26.782;757;00:03:44;00:00:09;25.752;1.030;96,15;2,19
09/10/2019;25.196;24.684;306;00:03:44;00:00:04;24.256;428;98,27;1,02
10/10/2019;25.038;23.138;202;00:03:40;00:00:03;22.845;293;98,73;0,64
